Shaheed Sthal,Red
Hindon River,Red
Arthala,Red
Mohan Nagar,Red
Shyam Park,Red
Major Mohit Sharma ,Red
Raj Bagh,Red
Shaheed Nagar,Red
Dilshad Garden,Red
Jhilmil,Red
Mansarovar Park,Red
Shahdara,Red
Welcome,Red
Seelampur,Red
Shastri Park,Red
Kashmere Gate,Red
Tis Hazari,Red
Pulbangash,Red
Pratap Nagar,Red
Shastri Nagar,Red
Inderlok,Red
Kanhaiya Nagar,Red
Keshav Puram,Red
Netaji Subhash Place,Red
Kohat Enclave,Red
Pitampura,Red
Rohini East,Red
Rohini West,Red
Rithala,Red
,
Samaypur Badli,Yellow
"Rohini Sector 18,19",Yellow
Haiderpur  Badli Mor,Yellow
Jahangir Puri,Yellow
Adarsh Nagar,Yellow
Azadpur,Yellow
Model Town,Yellow
Guru Teg Bahadur Nagar,Yellow
Viswavidyalaya,Yellow
Vidhan Sabha,Yellow
Civil Lines,Yellow
Kashmere Gate,Yellow
Chandni Chowk,Yellow
Chawri Bazar,Yellow
New Delhi,Yellow
Rajiv Chowk,Yellow
Patel Chowk,Yellow
Central Secretariat,Yellow
Udyog Bhawan,Yellow
Lok Kalyan Marg,Yellow
Jor Bagh,Yellow
Dilli Haat-INA,Yellow
Aiims,Yellow
Green Park,Yellow
Hauz Khas,Yellow
Malviya Nagar,Yellow
Saket,Yellow
Qutab Minar,Yellow
Chhatarpur,Yellow
Sultanpur,Yellow
Ghitorni,Yellow
Arjan Garh,Yellow
Guru Dronacharya,Yellow
Sikanderpur,Yellow
MG Road,Yellow
IFFCO Chowk,Yellow
Huda City Centre,Yellow
,
Kashmere Gate,Violet
Lal Quila,Violet
Jama Masjid,Violet
Delhi Gate,Violet
ITO,Violet
Mandi House,Violet
Janpath,Violet
Central Secretariat,Violet
Khan Market,Violet
Jawaharlal Nehru Stadium,Violet
Jangpura,Violet
Lajpat Nagar,Violet
Moolchand,Violet
Kailash Colony,Violet
Nehru Place,Violet
Kalkaji Mandir,Violet
Govindpuri,Violet
Harkesh Nagar Okhla,Violet
Jasola Apollo,Violet
Sarita Vihar,Violet
Mohan Estate,Violet
Tughlakabad,Violet
Badarpur Border,Violet
Sarai,Violet
NHPC Chowk,Violet
Mewala Maharajpur,Violet
Sector - 28,Violet
Badkai Mor,Violet
Old Faridabad,Violet
Neelam Chowk Ajronda,Violet
Bata Chowk,Violet
Ecorts Mujesar,Violet
Sant Surdas,Violet
Raja Nahar Singh,Violet
,
Vaishali,Blue
Kaushambi,Blue
Anand Vihar,Blue
Karkardooma,Blue
Preet Vihar,Blue
Nirman Vihar,Blue
Laxmi Nagar,Blue
Yamuna Bank,Blue
Indraprastha,Blue
Supreme Court,Blue
Mandi House,Blue
Barakhamba Road,Blue
Rajiv Chowk,Blue
RK Ashram Marg,Blue
Jhandewalan,Blue
Karol Bagh,Blue
Rajendra Place,Blue
Patel Nagar,Blue
Shadipur,Blue
Kirti Nagar,Blue
Moti Nagar,Blue
Ramesh Nagar,Blue
Rajouri Garden,Blue
Tagore Garden,Blue
Subhash Nagar,Blue
Tilak Nagar,Blue
Janak Puri East,Blue
Janak Puri West,Blue
Uttam Nagar East,Blue
Uttam Nagar West,Blue
Nawada,Blue
Dwarka Mor,Blue
Dwarka,Blue
Dwarka Sector 14,Blue
Dwarka Sector 13,Blue
Dwarka Sector 12,Blue
Dwarka Sector 11,Blue
Dwarka Sector 10,Blue
Dwarka Sector 9,Blue
Dwarka Sector 8,Blue
Dwarka Sector 21,Blue
,
Shiv Vihar,Pink
Johri Enclave,Pink
Gokulpuri,Pink
Maujpur - Babarpur,Pink
Jafrabad,Pink
Welcome,Pink
East Azad Nagar,Pink
Krishna Nagar,Pink
Karkardooma Court,Pink
Karkardooma,Pink
Anand Vihar,Pink
Ip Extension,Pink
Mandawali West Vinod Nagar,Pink
East Vinod Nagar,Pink
Trilok Puri Sanjay Lake,Pink
Mayur Vihar Pocket-1,Pink
Mayur Vihar Phase-1,Pink
Hazrat Nizamudin,Pink
Ashram,Pink
Vinobapuri,Pink
Lajpat Nagar,Pink
South Extension,Pink
Dilli Haat - INA,Pink
Sarojini Nagar,Pink
Bhikaji Cama Place,Pink
Vishweshwaraiah Moti Bagh,Pink
Durgabai Deshmukh South Campus,Pink
Delhi Cantt,Pink
Naraina Vihar,Pink
Mayapuri,Pink
Rajouri Garden,Pink
ESI - Basaidarapur,Pink
Punjabi Bagh West,Pink
Shakurpur,Pink
Netaji Subhash Place,Pink
Shalimar Bagh,Pink
Azadpur,Pink
Majis Park,Pink
,
Inderlok,Green
Ashok Park Main,Green
Punjabi Bagh,Green
Punjabi Bagh West,Green
Shivaji Park,Green
Madipur,Green
Paschim Vihar East,Green
Paschim Vihar West,Green
Peeragarhi,Green
Udyog Nagar,Green
Maharaja Surajmal Stadium,Green
Nangloi,Green
Nangloi Railway Station,Green
Rajdhani Park,Green
Mundka,Green
Mundka Industrial Area,Green
Ghevra,Green
Tikri Kalan,Green
Tikri Border,Green
Pandit Shree Ram Sharma,Green
Bahadurgarh City,Green
Brig Hoshiar Singh,Green
,
Botanical Garden,Magenta
Okhla Bird Sanctuary,Magenta
Kalindi Kung,Magenta
Jasola Vihar Shaheen Bagh,Magenta
Okhla Vihar,Magenta
Jamia Millia Islam,Magenta
Sukhdev Vihar,Magenta
Okhla NSIC,Magenta
Kalkaji Mandir,Magenta
Nehru Enclave,Magenta
Greater Kailash,Magenta
Chirag Delhi,Magenta
Panchsheel Pakr,Magenta
Huaz Khas,Magenta
IIT,Magenta
RK Puram,Magenta
Munirka,Magenta
Vasant Vihar,Magenta
Shankar Vihar,Magenta
T1 IGI Airport,Magenta
Sadar Bazar Cantonment,Magenta
Palam,Magenta
Dashrathpuri,Magenta
Dabri Mor,Magenta
Janak Puri West,Magenta